src	tgt	voc	tok	model	bleu	low_conf_bleu	high_conf_bleu	chrf	low_conf_chrf	high_conf_chrf	chrf++	low_conf_chrf++	high_conf_chrf++	comet	low_conf_comet	high_conf_comet	norm_comet	enc_layers	dec_layers	embs	ffw	params	PIES	ratio_ffw_embs	sum_layers	diff_enc_dec
eng_wiki	ita_wiki	4000	bpe.nof	4_24_256_1024_2	13.56718238	13.51159408	13.62277069	45.227	45.1691261	45.28566219	41.96078302	41.90347365	42.01809238	0.6060799838	0.6052101407	0.6069498269	60.53817735	4	24	256	1024	30489600	0.674	0.17	28	-20
deu	dsb	4000	bpe.nof	8_4_256_1024_2	27.82384616	27.70849891	27.93919341	43.055	42.93938724	43.1698172	42.51928377	42.40650864	42.63205891	0.6183837569	0.6176193733	0.6191481406	61.80327819	8	4	256	1024	12579840	0.292	2.00	12	4
eng	mni	4000	bpe.nof	16_4_256_1024_2	14.96457716	14.82493952	15.1042148	37.900	37.76491824	38.03556849	34.58039333	34.4432572	34.71752945	0.6758640293	0.67527992	0.6764481386	67.57087774	16	4	256	1024	18897920	0.499	4.00	20	12
deu	dsb	4000	bpe.nof	4_4_256_2048_2	29.28219247	29.15442532	29.40995961	45.187	45.0637834	45.31084715	44.6224727	44.5010318	44.7439136	0.6350378565	0.6342743645	0.6358013486	63.45346737	4	4	256	2048	13623296	0.301	1.00	8	0
deu	dsb	4000	bpe.nof	4_8_256_1024_2	27.65303499	27.54063165	27.76543834	42.740	42.62651394	42.85278163	42.34824856	42.23782236	42.45867476	0.6205190562	0.6197736396	0.6212644727	62.0159263	4	8	256	1024	13634560	0.319	0.50	12	-4
eng	mni	4000	bpe.nof	4_4_512_1024_2	20.20063549	20.04216122	20.35910976	47.352	47.21839367	47.48568839	43.59947344	43.46180278	43.7371441	0.7055144179	0.7049326965	0.7060961392	70.52631605	4	4	512	1024	25124864	0.531	1.00	8	0
eng_wiki	ita_wiki	4000	bpe.nof	16_4_256_1024_2	3.684378118	3.670504921	3.698251314	24.421	24.38994636	24.45299241	21.99148958	21.96268476	22.02029441	0.3569726438	0.3566086442	0.3573366433	35.70998826	16	4	256	1024	18897920	0.774	4.00	20	12
eng_wiki	ita_wiki	4000	bpe.nof	24_4_256_1024_2	3.261206488	3.24944365	3.272969325	21.550	21.51983744	21.58015046	19.40770889	19.38064141	19.43477637	0.3523371258	0.3519790338	0.3526952178	35.22658912	24	4	256	1024	25216000	1.170	6.00	28	20
deu	dsb	4000	bpe.nof	12_4_256_1024_2	27.13745363	27.03019443	27.24471283	41.986	41.87830942	42.09343559	41.67978797	41.57517798	41.78439797	0.6190472038	0.6183412985	0.619753109	61.87380778	12	4	256	1024	15738880	0.375	3.00	16	8
eng_wiki	ita_wiki	4000	bpe.nof	32_4_256_1024_2	2.813639932	2.804449772	2.822830092	19.067	19.04252173	19.09137218	17.11893069	17.09659825	17.14126313	0.3412859639	0.3409646257	0.3416073021	34.13998915	32	4	256	1024	31534080	1.654	8.00	36	28
